entity_id,state,last_changed
sensor.combined_mesh_solar_energy,23804.78,2026-06-28T18:18:31.559Z
sensor.combined_mesh_solar_energy,23804.79,2026-06-28T18:20:04.607Z
sensor.combined_mesh_solar_energy,23804.8,2026-06-28T18:24:59.694Z
sensor.combined_mesh_solar_energy,23804.81,2026-06-28T18:26:56.596Z
sensor.combined_mesh_solar_energy,23804.82,2026-06-28T18:30:12.377Z
sensor.combined_mesh_solar_energy,23804.83,2026-06-28T18:32:31.315Z
sensor.combined_mesh_solar_energy,23804.84,2026-06-28T18:36:32.279Z
sensor.combined_mesh_solar_energy,23804.85,2026-06-28T18:40:24.235Z
sensor.combined_mesh_solar_energy,23804.86,2026-06-28T18:45:01.225Z
sensor.combined_mesh_solar_energy,23804.87,2026-06-28T18:46:36.281Z
sensor.combined_mesh_solar_energy,23804.88,2026-06-28T18:50:56.310Z
sensor.combined_mesh_solar_energy,23804.89,2026-06-28T18:54:03.274Z
sensor.combined_mesh_solar_energy,23804.9,2026-06-28T18:58:59.576Z
sensor.combined_mesh_solar_energy,23804.91,2026-06-28T19:06:04.226Z
sensor.combined_mesh_solar_energy,23804.92,2026-06-28T19:16:41.532Z
sensor.combined_mesh_solar_energy,23804.93,2026-06-28T19:36:47.282Z
sensor.combined_mesh_solar_energy,23804.94,2026-06-28T20:06:07.285Z
sensor.combined_mesh_solar_energy,23804.95,2026-06-29T02:48:25.309Z
sensor.combined_mesh_solar_energy,23804.96,2026-06-29T03:18:39.651Z
sensor.combined_mesh_solar_energy,23804.97,2026-06-29T03:38:47.280Z
sensor.combined_mesh_solar_energy,23804.98,2026-06-29T03:46:14.266Z
sensor.combined_mesh_solar_energy,23804.99,2026-06-29T03:52:41.215Z
sensor.combined_mesh_solar_energy,23805.0,2026-06-29T03:56:39.283Z
sensor.combined_mesh_solar_energy,23805.01,2026-06-29T04:00:30.234Z
sensor.combined_mesh_solar_energy,23805.02,2026-06-29T04:04:24.045Z
sensor.combined_mesh_solar_energy,23805.03,2026-06-29T04:06:40.227Z
sensor.combined_mesh_solar_energy,23805.04,2026-06-29T04:10:20.935Z
sensor.combined_mesh_solar_energy,23805.05,2026-06-29T04:12:51.243Z
sensor.combined_mesh_solar_energy,23805.06,2026-06-29T04:14:45.639Z
sensor.combined_mesh_solar_energy,23805.07,2026-06-29T04:18:28.767Z
sensor.combined_mesh_solar_energy,23805.08,2026-06-29T04:20:36.416Z
sensor.combined_mesh_solar_energy,23805.09,2026-06-29T04:22:43.231Z
sensor.combined_mesh_solar_energy,23805.1,2026-06-29T04:24:36.248Z
sensor.combined_mesh_solar_energy,23805.11,2026-06-29T04:26:51.288Z
sensor.combined_mesh_solar_energy,23805.12,2026-06-29T04:28:22.262Z
sensor.combined_mesh_solar_energy,23805.13,2026-06-29T04:30:27.438Z
sensor.combined_mesh_solar_energy,23805.14,2026-06-29T04:32:14.434Z
sensor.combined_mesh_solar_energy,23805.15,2026-06-29T04:34:33.607Z
